gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
NAA10,ENSG00000102030,P41227,"N-alpha-acetyltransferase 10, NatA catalytic subunit",X,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RENBP,ENSG00000102032,P51606,Renin binding protein,X,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ELF4,ENSG00000102034,Q99607,E74 like ETS transcription factor 4,X,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
SMARCA1,ENSG00000102038,P28370,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",X,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
MTMR8,ENSG00000102043,Q96EF0,Myotubularin related protein 8,X,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in some
ASB9,ENSG00000102048,Q96DX5,Ankyrin repeat and SOCS box containing 9,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
ZC3H12B,ENSG00000102053,Q5HYM0,Zinc finger CCCH-type containing 12B,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
RBBP7,ENSG00000102054,Q16576,"RB binding protein 7, chromatin remodeling factor",X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
PPP1R2C,ENSG00000102055,O14990,PPP1R2C family member C,X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
KCND1,ENSG00000102057,Q9NSA2,Potassium voltage-gated channel subfamily D member 1,X,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,Tissue enhanced,Detected in many
OPN1LW,ENSG00000102076,P04000,"Opsin 1, long wave sensitive",X,"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in single
SLC25A14,ENSG00000102078,O95258,Solute carrier family 25 member 14,X,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
FMR1,ENSG00000102081,Q06787,Fragile X messenger ribonucleoprotein 1,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PIM2,ENSG00000102096,Q9P1W9,"Pim-2 proto-oncogene, serine/threonine kinase",X,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
SCML2,ENSG00000102098,Q9UQR0,Scm polycomb group protein like 2,X,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
SLC35A2,ENSG00000102100,P78381,Solute carrier family 35 member A2,X,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
PQBP1,ENSG00000102103,O60828,Polyglutamine binding protein 1,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RS1,ENSG00000102104,O15537,Retinoschisin 1,X,"Disease related genes, Human disease related genes, Potential drug targets, Predicted secreted proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in single
PCSK1N,ENSG00000102109,Q9UHG2,Proprotein convertase subtilisin/kexin type 1 inhibitor,X,Predicted secreted proteins,Evidence at protein level,Group enriched,Detected in many
EMD,ENSG00000102119,P50402,Emerin,X,"Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
TAFAZZIN,ENSG00000102125,Q16635,"Tafazzin, phospholipid-lysophospholipid transacylase",X,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
RAB40AL,ENSG00000102128,P0C0E4,RAB40A like,X,Predicted intracellular proteins,Evidence at protein level,Not detected,Not detected
PGK1,ENSG00000102144,P00558,Phosphoglycerate kinase 1,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
GATA1,ENSG00000102145,P15976,GATA binding protein 1,X,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enriched,Detected in some
MAGT1,ENSG00000102158,Q9H0U3,Magnesium transporter 1,X,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
SMS,ENSG00000102172,P52788,Spermine synthase,X,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PHEX,ENSG00000102174,P78562,Phosphate regulating endopeptidase X-linked,X,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
UBL4A,ENSG00000102178,P11441,Ubiquitin like 4A,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CD99L2,ENSG00000102181,Q8TCZ2,CD99 molecule like 2,X,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
EEA1,ENSG00000102189,Q15075,Early endosome antigen 1,12,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
GPR50,ENSG00000102195,Q13585,G protein-coupled receptor 50,X,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in single
RP2,ENSG00000102218,O75695,RP2 activator of ARL3 GTPase,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
JADE3,ENSG00000102221,Q92613,Jade family PHD finger 3,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CDK16,ENSG00000102225,Q00536,Cyclin dependent kinase 16,X,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
USP11,ENSG00000102226,P51784,Ubiquitin specific peptidase 11,X,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
PCYT1B,ENSG00000102230,Q9Y5K3,"Phosphate cytidylyltransferase 1B, choline",X,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
BRS3,ENSG00000102239,P32247,Bombesin receptor subtype 3,X,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in some
HTATSF1,ENSG00000102241,O43719,HIV-1 Tat specific factor 1,X,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
VGLL1,ENSG00000102243,Q99990,Vestigial like family member 1,X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in many
CD40LG,ENSG00000102245,P29965,CD40 ligand,X,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in some
TIMP1,ENSG00000102265,P01033,TIMP metallopeptidase inhibitor 1,X,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
KLHL4,ENSG00000102271,Q9C0H6,Kelch like family member 4,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
GABRE,ENSG00000102287,P78334,Gamma-aminobutyric acid type A receptor subunit epsilon,X,"FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
PCDH11X,ENSG00000102290,Q9BZA7,Protocadherin 11 X-linked,X,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in some
FGD1,ENSG00000102302,P98174,"FYVE, RhoGEF and PH domain containing 1",X,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
PIN4,ENSG00000102309,Q9Y237,"Peptidylprolyl cis/trans isomerase, NIMA-interacting 4",X,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PORCN,ENSG00000102312,Q9H237,Porcupine O-acyltransferase,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
ITIH6,ENSG00000102313,Q6UXX5,Inter-alpha-trypsin inhibitor heavy chain family member 6,X,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in single
MAGED2,ENSG00000102316,Q9UNF1,MAGE family member D2,X,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RBM3,ENSG00000102317,P98179,RNA binding motif protein 3,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
KLF8,ENSG00000102349,O95600,KLF transcription factor 8,X,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
SRPX2,ENSG00000102359,O60687,Sushi repeat containing protein X-linked 2,X,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
SYTL4,ENSG00000102362,Q96C24,Synaptotagmin like 4,X,"Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
ZDHHC15,ENSG00000102383,Q96MV8,Zinc finger DHHC-type palmitoyltransferase 15,X,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in many
CENPI,ENSG00000102384,Q92674,Centromere protein I,X,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
DRP2,ENSG00000102385,Q13474,Dystrophin related protein 2,X,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
TAF7L,ENSG00000102387,Q5H9L4,TATA-box binding protein associated factor 7 like,X,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
PBDC1,ENSG00000102390,Q9BVG4,Polysaccharide biosynthesis domain containing 1,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
GLA,ENSG00000102393,P06280,Galactosidase alpha,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ARMCX3,ENSG00000102401,Q9UH62,Armadillo repeat containing X-linked 3,X,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in all
BEX4,ENSG00000102409,Q9NWD9,Brain expressed X-linked 4,X,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
RUBCNL,ENSG00000102445,Q9H714,Rubicon like autophagy enhancer,13,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
NALCN,ENSG00000102452,Q8IZF0,"Sodium leak channel, non-selective",13,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
FGF14,ENSG00000102466,Q92915,Fibroblast growth factor 14,13,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in some
HTR2A,ENSG00000102468,P28223,5-hydroxytryptamine receptor 2A,13,"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in some
NDFIP2,ENSG00000102471,Q9NV92,Nedd4 family interacting protein 2,13,Predicted membrane proteins,Evidence at protein level,Low tissue specificity,Detected in all
TNFSF13B,ENSG00000102524,Q9Y275,TNF superfamily member 13b,13,"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
FNDC3A,ENSG00000102531,Q9Y2H6,Fibronectin type III domain containing 3A,13,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
MLNR,ENSG00000102539,O43193,Motilin receptor,13,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
CDADC1,ENSG00000102543,Q9BWV3,Cytidine and dCMP deaminase domain containing 1,13,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CAB39L,ENSG00000102547,Q9H9S4,Calcium binding protein 39 like,13,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
KLF5,ENSG00000102554,Q13887,KLF transcription factor 5,13,"Cancer-related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
STK24,ENSG00000102572,Q9Y6E0,Serine/threonine kinase 24,13,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ACP5,ENSG00000102575,P13686,"Acid phosphatase 5, tartrate resistant",19,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
DNAJC3,ENSG00000102580,Q13217,DnaJ heat shock protein family (Hsp40) member C3,13,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
UGGT2,ENSG00000102595,Q9NYU1,UDP-glucose glycoprotein glucosyltransferase 2,13,"Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ARHGEF7,ENSG00000102606,Q14155,Rho guanine nucleotide exchange factor 7,13,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
FGF9,ENSG00000102678,P31371,Fibroblast growth factor 9,13,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,Tissue enhanced,Detected in some
SGCG,ENSG00000102683,Q13326,Sarcoglycan gamma,13,"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in many
PARP4,ENSG00000102699,Q9UKK3,Poly(ADP-ribose) polymerase family member 4,13,"Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SUPT20H,ENSG00000102710,Q8NEM7,"SPT20 homolog, SAGA complex component",13,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
MRPS31,ENSG00000102738,Q92665,Mitochondrial ribosomal protein S31,13,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC25A15,ENSG00000102743,Q9Y619,Solute carrier family 25 member 15,13,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
KPNA3,ENSG00000102753,O00505,Karyopherin subunit alpha 3,13,"Human disease related genes, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
FLT1,ENSG00000102755,P17948,Fms related receptor tyrosine kinase 1,13,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,Tissue enriched,Detected in many
RGCC,ENSG00000102760,Q9H4X1,Regulator of cell cycle,13,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
VWA8,ENSG00000102763,A3KMH1,Von Willebrand factor A domain containing 8,13,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
DGKH,ENSG00000102780,Q86XP1,Diacylglycerol kinase eta,13,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
KATNAL1,ENSG00000102781,Q9BW62,Katanin catalytic subunit A1 like 1,13,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
INTS6,ENSG00000102786,Q9UL03,Integrator complex subunit 6,13,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ACOD1,ENSG00000102794,A6NK06,Aconitate decarboxylase 1,13,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in single
DHRS12,ENSG00000102796,A0PJE2,Dehydrogenase/reductase 12,13,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
MEDAG,ENSG00000102802,Q5VYS4,Mesenteric estrogen dependent adipogenesis,13,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
TSC22D1,ENSG00000102804,Q15714,TSC22 domain family member 1,13,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CLN5,ENSG00000102805,O75503,CLN5 intracellular trafficking protein,13,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
OLFM4,ENSG00000102837,Q6UX06,Olfactomedin 4,13,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in many
MSLN,ENSG00000102854,Q13421,Mesothelin,16,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
MGRN1,ENSG00000102858,O60291,Mahogunin ring finger 1,16,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ZNF629,ENSG00000102870,Q9UEG4,Zinc finger protein 629,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
TRADD,ENSG00000102871,Q15628,TNFRSF1A associated via death domain,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
HSF4,ENSG00000102878,Q9ULV5,Heat shock transcription factor 4,16,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
CORO1A,ENSG00000102879,P31146,Coronin 1A,16,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in many
MAPK3,ENSG00000102882,P27361,Mitogen-activated protein kinase 3,16,"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,Low tissue specificity,Detected in all
GDPD3,ENSG00000102886,Q7L5L3,Glycerophosphodiester phosphodiesterase domain containing 3,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
ELMO3,ENSG00000102890,Q96BJ8,Engulfment and cell motility 3,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
MT4,ENSG00000102891,P47944,Metallothionein 4,16,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
PHKB,ENSG00000102893,Q93100,Phosphorylase kinase regulatory subunit beta,16,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
LYRM1,ENSG00000102897,O43325,LYR motif containing 1,16,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NUTF2,ENSG00000102898,P61970,Nuclear transport factor 2,16,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NUP93,ENSG00000102900,Q8N1F7,Nucleoporin 93,16,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
CENPT,ENSG00000102901,Q96BT3,Centromere protein T,16,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
TSNAXIP1,ENSG00000102904,Q2TAA8,Translin associated factor X interacting protein 1,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
NFAT5,ENSG00000102908,O94916,Nuclear factor of activated T cells 5,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in many
LONP2,ENSG00000102910,Q86WA8,"Lon peptidase 2, peroxisomal",16,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
N4BP1,ENSG00000102921,O75113,NEDD4 binding protein 1,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CBLN1,ENSG00000102924,P23435,Cerebellin 1 precursor,16,Predicted secreted proteins,Evidence at protein level,Tissue enriched,Detected in many
ARL2BP,ENSG00000102931,Q9Y2Y0,ADP ribosylation factor like GTPase 2 binding protein,16,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
PLLP,ENSG00000102934,Q9Y342,Plasmolipin,16,Predicted membrane proteins,Evidence at protein level,Tissue enhanced,Detected in all
ZNF423,ENSG00000102935,Q2M1K9,Zinc finger protein 423,16,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
CCL22,ENSG00000102962,O00626,C-C motif chemokine ligand 22,16,Predicted secreted proteins,Evidence at protein level,Tissue enhanced,Detected in some
DHODH,ENSG00000102967,Q02127,Dihydroorotate dehydrogenase (quinone),16,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in all
CCL17,ENSG00000102970,Q92583,C-C motif chemokine ligand 17,16,Predicted secreted proteins,Evidence at protein level,Tissue enriched,Detected in many
CTCF,ENSG00000102974,P49711,CCCTC-binding factor,16,"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
ACD,ENSG00000102977,Q96AP0,ACD shelterin complex subunit and telomerase recruitment factor,16,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
POLR2C,ENSG00000102978,P19387,RNA polymerase II subunit C,16,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, RNA polymerase related proteins",Evidence at protein level,Low tissue specificity,Detected in all
PARD6A,ENSG00000102981,Q9NPB6,Par-6 family cell polarity regulator alpha,16,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
ZNF821,ENSG00000102984,O75541,Zinc finger protein 821,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
MMP15,ENSG00000102996,P51511,Matrix metallopeptidase 15,16,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
USB1,ENSG00000103005,Q9BQ65,U6 snRNA biogenesis phosphodiesterase 1,16,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CYB5B,ENSG00000103018,O43169,Cytochrome b5 type B,16,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
CCDC113,ENSG00000103021,Q9H0I3,Coiled-coil domain containing 113,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
PRSS54,ENSG00000103023,Q6PEW0,Serine protease 54,16,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enriched,Detected in single
NME3,ENSG00000103024,Q13232,NME/NM23 nucleoside diphosphate kinase 3,16,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
NDRG4,ENSG00000103034,Q9ULP0,NDRG family member 4,16,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
PSMD7,ENSG00000103035,P51665,"Proteasome 26S subunit, non-ATPase 7",16,"Enzymes, Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SETD6,ENSG00000103037,Q8TBK2,"SET domain containing 6, protein lysine methyltransferase",16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
SLC38A7,ENSG00000103042,Q9NVC3,Solute carrier family 38 member 7,16,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
VAC14,ENSG00000103043,Q08AM6,VAC14 component of PIKFYVE complex,16,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
HAS3,ENSG00000103044,O00219,Hyaluronan synthase 3,16,"Enzymes, Metabolic proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
TANGO6,ENSG00000103047,Q9C0B7,Transport and golgi organization 6 homolog,16,"Essential proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
COG4,ENSG00000103051,,Component of oligomeric golgi complex 4,16,"Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SMPD3,ENSG00000103056,Q9NY59,Sphingomyelin phosphodiesterase 3,16,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
SLC7A6OS,ENSG00000103061,Q96CW6,Solute carrier family 7 member 6 opposite strand,16,"Disease related genes, Essential proteins, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC7A6,ENSG00000103064,Q92536,Solute carrier family 7 member 6,16,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
PLA2G15,ENSG00000103066,Q8NCC3,Phospholipase A2 group XV,16,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
ESRP2,ENSG00000103067,Q9H6T0,Epithelial splicing regulatory protein 2,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
FA2H,ENSG00000103089,Q7L5A8,Fatty acid 2-hydroxylase,16,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Group enriched,Detected in many
WDR59,ENSG00000103091,Q6PJI9,WD repeat domain 59,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
MON1B,ENSG00000103111,Q7L1V2,"MON1 homolog B, secretory trafficking associated",16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
CMC2,ENSG00000103121,Q9NRP2,C-X9-C motif containing 2,16,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
AXIN1,ENSG00000103126,O15169,Axin 1,16,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
HCFC1R1,ENSG00000103145,Q9NWW0,Host cell factor C1 regulator 1,16,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
NPRL3,ENSG00000103148,Q12980,"NPR3 like, GATOR1 complex subunit",16,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
